ID,lexiconId,DisplayText,ThemePackId,CategoryTag,Weight,EffectId,notes
1,101001,北京烤鸭,1,1,1.0,0,
2,101002,炸酱面,1,1,1.0,0,
3,101003,涮羊肉,1,1,1.0,0,
4,101004,豆汁儿,1,1,1.0,0,
5,101005,炒肝,1,1,1.0,0,
6,101006,卤煮火烧,1,1,1.0,0,
7,101007,爆肚,1,1,1.0,0,
8,101008,艾窝窝,1,1,1.0,0,
9,101009,驴打滚,1,1,1.0,0,
10,101010,豌豆黄,1,1,1.0,0,
11,101011,芸豆卷,1,1,1.0,0,
12,101012,糖火烧,1,1,1.0,0,
13,101013,门钉肉饼,1,1,1.0,0,
14,101014,芥末墩,1,1,1.0,0,
15,101015,炒疙瘩,1,1,1.0,0,
16,101016,灌肠,1,1,1.0,0,
17,101017,京酱肉丝,1,1,1.0,0,
18,101018,京味烧麦,1,1,1.0,0,
19,101019,褡裢火烧,1,1,1.0,0,
20,101020,羊蝎子,1,1,1.0,0,
21,101021,麻豆腐,1,1,1.0,0,
22,101022,干炸丸子,1,1,1.0,0,
23,101023,杏仁豆腐,1,1,1.0,0,
24,101024,老北京面茶,1,1,1.0,0,
25,101025,茶汤,1,1,1.0,0,
26,101026,狗不理包子,1,1,1.0,0,
27,101027,十八街麻花,1,1,1.0,0,
28,101028,耳朵眼炸糕,1,1,1.0,0,
29,101029,煎饼果子,1,1,1.0,0,
30,101030,锅巴菜,1,1,1.0,0,
31,101031,面茶,1,1,1.0,0,
32,101032,熟梨糕,1,1,1.0,0,
33,101033,糖炒栗子,1,1,1.0,0,
34,101034,贴饽饽熬小鱼,1,1,1.0,0,
35,101035,卷圈,1,1,1.0,0,
36,101036,罾蹦鲤鱼,1,1,1.0,0,
37,101037,八大碗,1,1,1.0,0,
38,101038,嘎巴菜,1,1,1.0,0,
39,101039,天津捞面,1,1,1.0,0,
40,101040,独流老醋,1,1,1.0,0,
41,101041,驴肉火烧,1,1,1.0,0,
42,101042,金毛狮子鱼,1,1,1.0,0,
43,101043,锅包肘子,1,1,1.0,0,
44,101044,柴沟堡熏肉,1,1,1.0,0,
45,101045,沧州火锅鸡,1,1,1.0,0,
46,101046,白肉罩火烧,1,1,1.0,0,
47,101047,正定崩肝,1,1,1.0,0,
48,101048,花椒肉,1,1,1.0,0,
49,101049,溜腰花,1,1,1.0,0,
50,101050,改刀肉,1,1,1.0,0,
51,101051,烧南北,1,1,1.0,0,
52,101052,承德凉粉,1,1,1.0,0,
53,101053,饹馇,1,1,1.0,0,
54,101054,宣化莜面,1,1,1.0,0,
55,101055,蔚县黄糕,1,1,1.0,0,
56,101056,唐山棋子烧饼,1,1,1.0,0,
57,101057,秦皇岛桲椤叶饼,1,1,1.0,0,
58,101058,邯郸拽面,1,1,1.0,0,
59,101059,曲周曲面,1,1,1.0,0,
60,101060,永年驴肉灌肠,1,1,1.0,0,
61,101061,保定白洋淀咸鸭蛋,1,1,1.0,0,
62,101062,廊坊香河肉饼,1,1,1.0,0,
63,101063,沧州羊肠汤,1,1,1.0,0,
64,101064,石家庄缸炉烧饼,1,1,1.0,0,
65,101065,平泉羊汤,1,1,1.0,0,
66,101066,保定牛肉罩饼,1,1,1.0,0,
67,101067,邯郸皮渣,1,1,1.0,0,
68,101068,承德杏仁露,1,1,1.0,0,
69,101069,保定槐茂酱菜,1,1,1.0,0,
70,101070,迁西板栗,1,1,1.0,0,
71,102001,刀削面,1,2,1.0,0,
72,102002,平遥牛肉,1,2,1.0,0,
73,102003,过油肉,1,2,1.0,0,
74,102004,碗托,1,2,1.0,0,
75,102005,栲栳栳,1,2,1.0,0,
76,102006,猫耳朵,1,2,1.0,0,
77,102007,剔尖,1,2,1.0,0,
78,102008,饸饹面,1,2,1.0,0,
79,102009,太谷饼,1,2,1.0,0,
80,102010,闻喜煮饼,1,2,1.0,0,
81,102011,太原头脑,1,2,1.0,0,
82,102012,羊杂割,1,2,1.0,0,
83,102013,浑源凉粉,1,2,1.0,0,
84,102014,黄米面炸糕,1,2,1.0,0,
85,102015,晋南醪糟,1,2,1.0,0,
86,102016,柳林碗团,1,2,1.0,0,
